ID,Owner,Tree Farm,Site #,Treatment,Survey Date,Subplot #,Subplot Code,Lat,Long,Elevation,Start Time,Temp,Humidity,Weather,Canopy Cover,CWD Cover,Veg Cover,FWD Cover,Uphill bearing,Downhill bearing,Litter 1,Litter 2,Litter 3,Soil Moist 1,us,Soil Moist 2,us,Soil Moist 3,us,Soil Moist Avg,Litter Avg,Notes
1,WY,,10506,BS,3/13/2023,1,WY10506_BS_01,45.083879,122.422965,,,43,89.9,R,0,1,1,1,,,0,0,0,41.5,1.794,39.7,1.758,38.5,1.735,39.9,0,
2,WY,,10506,BS,3/13/2023,2,WY10506_BS_02,45.083989,122.422676,,,33.7,100,SN,0,1,1,2,,,1,2,0,36.9,1.707,23.8,1.564,41.6,1.794,34.1,1,
3,WY,,10506,BS,3/13/2023,3,WY10506_BS_03,45.083636,122.422833,,,39.8,97.5,R,0,1,1,1,,,0,0,0,40.4,1.773,42.1,1.806,35,1.672,39.16666667,0,
4,WY,,10506,BS,3/13/2023,4,WY10506_BS_04,45.083653,122.422996,,,40.3,100,R,0,1,1,1,,,1,0,0,38.5,1.734,38.9,1.742,32.5,1.628,36.63333333,0.333333333,
5,WY,,10506,BS,3/13/2023,5,WY10506_BS_05,45.083696,122.423232,,,45.9,96.8,R,0,1,1,2,,,1,0,0,37.8,1.727,39.8,1.76,36.3,1.692,37.96666667,0.333333333,
6,WY,,10506,BS,3/13/2023,6,WY10506_BS_06,45.083997,122.423215,,,37,100,SN,0,1,1,1,,,6,2,1,32.2,1.623,31.8,1.22,40.1,1.767,34.7,3,
7,WY,,10506,BS,3/13/2023,7,WY10506_BS_07,45.084065,122.4228998,,,36.1,100,R,0,1,1,2,,,0,1,0,39.4,1.752,31.9,1.619,32.1,1.622,34.46666667,0.333333333,
8,WY,,10467,HB,3/14/2023,1,WY10467_HB_01,45.079726,122.410628,,,32.3,94.8,PC,0,1,1,1,,,0,1,0,19.3,1.418,35.3,1.679,38.3,1.732,30.96666667,0.333333333,
9,WY,,10467,HB,3/14/2023,2,WY10467_HB_02,45.079585,122.410308,,,34.5,93.2,PC,0,1,3,1,,,0,1,1,22.4,1.467,26.9,1.538,34.4,1.663,27.9,0.666666667,
10,WY,,10467,HB,3/14/2023,3,WY10467_HB_03,45.0749142,122.410755,,,34,85,PC,0,1,3,1,,,1,0,0,32.8,1.633,25.5,1.516,35.7,1.684,31.33333333,0.333333333,
11,WY,,10467,HB,3/14/2023,4,WY10467_HB_04,45.0796,122.41102,,,31.2,92.4,PC,0,1,4,1,,,1.5,1,T,23.5,1.484,28.1,1.557,31.6,1.614,27.73333333,1.25,
12,WY,,10467,HB,3/14/2023,5,WY10467_HB_05,45.079878,122.411029,,,31.7,86.8,PC,0,1,2,1,,,0,0.5,0.5,16.9,1.348,24.5,1.499,33.8,1.651,25.06666667,0.333333333,
13,WY,,10467,HB,3/14/2023,6,WY10467_HB_06,45.080006,122.410608,,,33.5,85.9,PC,0,1,4,1,,,T,T,1,14,1.336,37.9,1.762,35.9,1.688,29.26666667,1,
14,WY,,10467,HB,3/14/2023,7,WY10467_HB_07,45.079881,122.410216,,,34.4,86.4,PC,0,1,3,1,,,1,T,T,29.1,1.572,32.9,1.635,29.4,1.578,30.46666667,1,
15,WY,,10078,HB,3/15/2023,1,WY10078_HB_01,45.094977,122.396292,,,37.1,89.7,SN,0,1,3,1,,,0,0,T,19.2,1.417,22.5,1.468,37.5,1.716,26.4,0,
16,WY,,10078,HB,3/15/2023,2,WY10078_HB_02,,,,,36.2,86.3,C,0,1,4,1,,,T,T,T,25.7,1.518,29.2,1.574,30.1,1.588,28.33333333,T,
17,WY,,10078,HB,3/15/2023,3,WY10078_HB_03,,,,,36.8,83.2,SN,0,1,3,1,,,T,T,0,26.8,1.536,24.1,1.494,27.3,1.544,26.06666667,0,
18,WY,,10078,HB,3/15/2023,4,WY10078_HB_04,,,,,36.2,92.1,C,0,1,3,1,,,0,T,T,32.6,1.631,31.5,1.612,32.6,1.629,32.23333333,0,
19,WY,,10078,HB,3/15/2023,5,WY10078_HB_05,45.09457,122.39622,,,39.1,87.4,PC,0,1,3,1,,,0.5,T,0,32.9,1.637,37.3,1.712,28.9,1.57,33.03333333,0.25,
20,WY,,10078,HB,3/15/2023,6,WY10078_HB_06,45.09463,122.39655,,,38.5,91.9,PC,0,1,4,1,,,T,0,0,35.4,1.679,29.8,1.585,30.3,1.591,31.83333333,0,
21,WY,,10078,HB,3/15/2023,7,WY10078_HB_07,,,,,38,98.3,PC,0,1,4,1,,,0,1,0,20.8,1.442,39.2,1.748,39,1.745,33,0.333333333,
22,BLM,,12251,UU,3/15/2023,1,BLM12239_UU_01,45.07887,122.58288,,,51.7,63.7,S,3,2,4,1,,,4,6,4,28.9,1.57,22.9,1.476,17.3,1.356,23.03333333,4.666666667,
23,BLM,,12251,UU,3/15/2023,2,BLM12239_UU_02,,,,,48.3,58.9,PC,3,1,3,2,,,6,3,3,23.1,1.478,27.3,1.544,26.7,1.534,25.7,4,
24,BLM,,12251,UU,3/15/2023,3,BLM12239_UU_03,,,,,51.7,66.4,PC,3,2,3,2,,,T,2,2,23.8,1.489,33.1,1.638,29.9,1.586,28.93333333,2,
25,BLM,,12251,UU,3/15/2023,4,BLM12239_UU_04,,,,,47.3,67.3,PC,2,1,4,2,,,0.5,1,1,33.2,1.639,35.5,1.679,26.8,1.536,31.83333333,0.833333333,
26,BLM,,12251,UU,3/15/2023,5,BLM12239_UU_05,45.07853,122.582999,,,50,54.7,PC,3,1,4,4,,,2,4,6,25.1,1.509,12.6,1.314,23.4,1.483,20.36666667,4,
27,BLM,,12251,UU,3/15/2023,6,BLM12239_UU_06,45.078799,122.58332,,,48.1,56.6,PC,4,1,3,3,,,2,3,1,36.6,1.678,39.4,1.749,51.9,2.036,42.63333333,2,
