survey_date,month,count
3/13/2023,mar,2
3/14/2023,mar,0
3/15/2023,mar,0
3/16/2023,mar,1
3/20/2023,mar,0
3/21/2023,mar,3
3/22/2023,mar,2
3/23/2023,mar,1
3/27/2023,mar,4
3/28/2023,mar,0
3/29/2023,mar,0
3/30/2023,mar,0
4/4/2023,apr,1
4/5/2023,apr,3
4/6/2023,apr,2
4/6/2023,apr,0
4/10/2023,apr,6
4/11/2023,apr,9
4/12/2023,apr,6
4/17/2023,apr,6
4/18/2023,apr,5
4/19/2023,apr,4
4/20/2023,apr,3
4/24/2023,apr,9
4/25/2023,apr,5
4/26/2023,apr,12
4/27/2023,apr,13
5/1/2023,may,7
5/2/2023,may,12
5/3/2023,may,4
5/4/2023,may,8
5/8/2023,may,3
5/9/2023,may,2
5/10/2023,may,2
5/11/2023,may,0
5/12/2023,may,1
5/15/2023,may,0
5/16/2023,may,2
5/17/2023,may,1
5/18/2023,may,0
5/19/2023,may,1
5/22/2023,may,0
5/23/2023,may,2
