site,1,2,3,4,5,6,7
9757,86.4,86.1,89,94.9,92.5,87.3,89.8
10024,68.4,69.4,61.1,64.1,58.5,58.8,63.3
10078,89.7,86.3,83.2,92.1,87.4,91.9,98.3
10153,91.4,94.9,90,92.6,96.9,87,96.2
10185,82.1,100,95.2,89.1,79.2,92.7,99.1
10258,100,89.2,91.7,99.5,85.6,85.3,91.7
10302,81.7,84,85.9,88.9,85.6,83.4,90.2
10399,86.3,91.1,95,81.1,93,83,90.7
10403,54,54.5,66.7,58.2,52.1,43.1,47
10422,66.5,68.6,67.3,64.5,70.9,79,69.4
10439,100,100,99.5,99.8,95.4,100,100
10444,53.6,54.8,55.4,63.4,55.5,52.6,53.1
10467,94.8,93.2,85,92.4,86.8,85.9,86.4
10488,76.6,60.5,52.2,79.5,78.9,62.7,63.6
10498,70.2,80,80.3,76.3,69.4,72.9,73.1
10506,89.9,100,97.5,100,96.8,100,100
10550,77.3,74.7,74.4,75,72.6,70.8,76.9
10553,65.6,64,65,63,52.7,52,62.9
10597,87.3,91,83.5,88.3,89.3,86,86
10956,74.6,76.4,70.8,69.8,70,79.6,76.8
10963,64.7,70.4,64.9,64.1,66.9,75,70.5
10965,83.5,81.6,73.6,72.4,77.7,74.4,74.4
10968,77.4,68.3,72.3,65.9,68.7,69.4,67.6
11079,98.6,89.9,94.8,89.8,100,100,90.8
12033,49.8,57.5,53.3,52.1,70.8,55.9,58.9
12098,74.6,76.7,70.1,75.6,73.6,73.4,75
12213,80.5,70.4,70.5,66.7,69.4,67.5,75.8
12239,63.7,58.9,66.4,67.3,54.7,56.6,62.4
12349,76.5,72.4,73.7,79,75.1,79,72.9
12351,48.6,42.2,43.4,42.8,45.1,35.3,44.4
12362,57,54.1,51.5,56.8,54.6,57.1,55.3
12364,74.8,70,58.2,58.9,57.5,56.8,78.3
12392,77.5,73.6,72.1,80.4,75.1,79.5,82.7
12421,58.4,57.3,60.2,57.9,59.4,67.1,63.4
12441,47.6,41.1,43.5,44.9,39.9,38.8,41.9
12560,69.9,64.6,62.4,61.6,62.5,60,69
12804,92.5,92.6,100,100,100,99,97.8
12805,78.2,92.6,91.5,92.8,98.5,81.5,94.4
13924,76.7,85.6,88.4,79.1,81.3,80,94.4
15562,66,58.8,62.6,53.2,48.4,67.6,42.9
16804,74.6,72.5,70.3,75.8,73.6,84.5,78
20039,63.9,38.3,48.5,43.3,47.1,57.3,55
20053,52.2,52.5,57.2,64,49.6,48,58.7
20550,66.3,63.4,67,67.1,50,61.6,64.4
20616,68.7,66.2,75,68.5,66.2,59.6,66.9
21026,50,46.8,50,50.7,51.8,51.7,53.7
21159,44.1,42.2,47.1,46.7,46.2,45.2,50.7
25954,60.8,51.2,56,53.4,60.4,61.3,63.3
29121,50.7,45.3,57,51.8,59.2,45.7,57.2
29122,72.4,64.5,69.8,72.9,69.9,65.4,63.3
29123,84.1,82.2,76.1,79.1,78.7,78.6,83.3
29429,70.2,71.5,71,63,68,67.2,73.1
29431,57.1,57.7,49.3,60,49.3,50.7,56.2
29889,82.2,83.5,71.7,75.8,82.1,76.9,77.5
33628,74.6,82.6,84.9,82.7,89,92.7,85.5
33651,100,96.6,80.9,98.8,100,96.6,100
33689,70,80,82.5,85.2,77.2,93.3,78.2
33754,58.8,56,71.7,65.9,62.3,66.8,73.3
33810,100,100,100,100,100,100,100
34007,72.2,53.4,56.8,53.6,63.6,50.8,61.9
34017,82.3,85.5,89.7,84.2,87.5,83.9,79.2
408143,78.6,82.2,90.3,92.9,78.7,83.7,81.7
408161,66.8,64.5,72.4,73.4,65.9,75.3,76.3
408162,80.9,86.8,79,78.6,86.7,100,98.8
408180,54.8,78.3,67.5,82.2,72.8,69.1,91.7
4081781,70.3,67.2,72.4,68.8,73,60.6,68.8
4081782,100,100,100,100,100,100,100
