site,1,2,3,4,5,6,7
9757,2460052.5,2460052.5,2460052.5,2460052.5,2460052.5,2460052.5,2460052.5
10024,2460085.5,2460085.5,2460085.5,2460085.5,2460085.5,2460085.5,2460085.5
10078,2460017.5,2460017.5,2460017.5,2460017.5,2460017.5,2460017.5,2460017.5
10153,2460067.5,2460067.5,2460067.5,2460067.5,2460067.5,2460067.5,2460067.5
10185,2460043.5,2460043.5,2460043.5,2460043.5,2460043.5,2460043.5,2460043.5
10258,2460022.5,2460022.5,2460022.5,2460022.5,2460022.5,2460022.5,2460022.5
10302,2460064.5,2460064.5,2460064.5,2460064.5,2460064.5,2460064.5,2460064.5
10399,2460072.5,2460072.5,2460072.5,2460072.5,2460072.5,2460072.5,2460072.5
10403,2460024.5,2460024.5,2460024.5,2460024.5,2460024.5,2460024.5,2460024.5
10422,2460032.5,2460032.5,2460032.5,2460032.5,2460032.5,2460032.5,2460032.5
10439,2460067.5,2460067.5,2460067.5,2460067.5,2460067.5,2460067.5,2460067.5
10444,2460024.5,2460024.5,2460024.5,2460024.5,2460024.5,2460024.5,2460024.5
10467,2460016.5,2460016.5,2460016.5,2460016.5,2460016.5,2460016.5,2460016.5
10488,2460023.5,2460023.5,2460023.5,2460023.5,2460023.5,2460023.5,2460023.5
10498,2460073.5,2460073.5,2460073.5,2460073.5,2460073.5,2460073.5,2460073.5
10506,2460015.5,2460015.5,2460015.5,2460015.5,2460015.5,2460015.5,2460015.5
10550,2460032.5,2460032.5,2460032.5,2460032.5,2460032.5,2460032.5,2460032.5
10553,2460073.5,2460073.5,2460073.5,2460073.5,2460073.5,2460073.5,2460073.5
10597,2460025.5,2460025.5,2460025.5,2460025.5,2460025.5,2460025.5,2460025.5
10956,2460030.5,2460030.5,2460030.5,2460030.5,2460030.5,2460030.5,2460030.5
10963,2460023.5,2460023.5,2460023.5,2460023.5,2460023.5,2460023.5,2460023.5
10965,2460072.5,2460072.5,2460072.5,2460072.5,2460072.5,2460072.5,2460072.5
10968,2460066.5,2460066.5,2460066.5,2460066.5,2460066.5,2460066.5,2460066.5
11079,2460022.5,2460022.5,2460022.5,2460022.5,2460022.5,2460022.5,2460022.5
12033,2460059.5,2460059.5,2460059.5,2460059.5,2460059.5,2460059.5,2460059.5
12098,2460065.5,2460065.5,2460065.5,2460065.5,2460065.5,2460065.5,2460065.5
12213,2460057.5,2460057.5,2460057.5,2460057.5,2460057.5,2460057.5,2460057.5
12239,2460017.5,2460017.5,2460017.5,2460017.5,2460017.5,2460017.5,2460017.5
12349,2460065.5,2460065.5,2460065.5,2460065.5,2460065.5,2460065.5,2460065.5
12351,2460086.5,2460086.5,2460086.5,2460086.5,2460086.5,2460086.5,2460086.5
12362,2460058.5,2460058.5,2460058.5,2460058.5,2460058.5,2460058.5,2460058.5
12364,2460058.5,2460058.5,2460058.5,2460058.5,2460058.5,2460058.5,2460058.5
12392,2460074.5,2460074.5,2460074.5,2460074.5,2460074.5,2460074.5,2460074.5
12421,2460060.5,2460060.5,2460060.5,2460060.5,2460060.5,2460060.5,2460060.5
12441,2460060.5,2460060.5,2460060.5,2460060.5,2460060.5,2460060.5,2460060.5
12560,2460059.5,2460059.5,2460059.5,2460059.5,2460059.5,2460059.5,2460059.5
12804,2460071.5,2460071.5,2460071.5,2460071.5,2460071.5,2460071.5,2460071.5
12805,2460071.5,2460071.5,2460071.5,2460071.5,2460071.5,2460071.5,2460071.5
13924,2460018.5,2460018.5,2460018.5,2460018.5,2460018.5,2460018.5,2460018.5
15562,2460029.5,2460029.5,2460029.5,2460029.5,2460029.5,2460029.5,2460029.5
16804,2460031.5,2460031.5,2460031.5,2460031.5,2460031.5,2460031.5,2460031.5
20039,2460095.5,2460095.5,2460095.5,2460095.5,2460095.5,2460095.5,2460095.5
20053,2460095.5,2460095.5,2460095.5,2460095.5,2460095.5,2460095.5,2460095.5
20550,2460096.5,2460096.5,2460096.5,2460096.5,2460096.5,2460096.5,2460096.5
20616,2460078.5,2460078.5,2460078.5,2460078.5,2460078.5,2460078.5,2460078.5
21026,2460080.5,2460080.5,2460080.5,2460080.5,2460080.5,2460080.5,2460080.5
21159,2460080.5,2460080.5,2460080.5,2460080.5,2460080.5,2460080.5,2460080.5
25954,2460086.5,2460086.5,2460086.5,2460086.5,2460086.5,2460086.5,2460086.5
29121,2460078.5,2460078.5,2460078.5,2460078.5,2460078.5,2460078.5,2460078.5
29122,2460079.5,2460079.5,2460079.5,2460079.5,2460079.5,2460079.5,2460079.5
29123,2460079.5,2460079.5,2460079.5,2460079.5,2460079.5,2460079.5,2460079.5
29429,2460081.5,2460081.5,2460081.5,2460081.5,2460081.5,2460081.5,2460081.5
