sire,1,2,3,4,5,6,7
9757,22.3,27.07,23.83,20.43,16.9,23.33,25.37
10024,10.17,6.2,0,45,4.57,12.07,18.8
10078,26.4,28.33,26.07,32.23,33.03,31.83,33
10153,18.93,21.87,30.1,27.03,21.03,29.4,31.6
10185,36.2,32.4,44.4,27.37,25.07,32.2,35.2
10258,30.8,27.43,11.37,15.63,18.17,7.53,23.97
10302,20.77,15.6,13.9,14,18.1,15,14.53
10399,25.73,22.87,25,25.3,21.63,25.93,26.27
10403,26.8,17.2,15.47,25.57,17.87,24.47,15.7
10422,27.87,31.43,26.73,21.67,29.4,19.97,27.07
10439,25.97,19.77,19.63,27.37,28.57,31.3,24.63
10444,20.93,19.83,19.13,18.47,19.67,25.3,14.1
10467,30.97,27.9,31.33,27.73,25.07,29.27,30.47
10488,17.4,14.77,21.07,20.9,19.73,22.3,14.37
10498,17.97,24.43,21.6,25.07,24.7,21.5,27.2
10506,39.9,34.1,39.17,36.63,37.97,34.7,34.47
10550,32.47,27,25.03,21.67,21.4,22,24.07
10553,15.43,16.23,21.37,17.83,12.6,13.47,18.07
10597,31.27,26.07,22.03,27.8,20,17.83,25.67
10956,25.23,26.63,22.67,25.87,24.1,27.37,27.43
10963,28.43,18,20.83,24.57,23.37,24.7,19.87
10965,33.1,25.27,34.4,29.03,24.67,32.17,30.33
10968,17.87,18.07,19.07,14.03,12.43,15.8,12
11079,28.07,33.47,26.37,25.73,24.7,31.77,26.6
12033,28.37,18.97,22.67,22.83,19.1,25,25.43
12098,28.23,24.9,29.4,16.2,19.9,23.93,24.03
12213,34.73,35.63,30.27,29.87,32.67,38.5,32.13
12239,23.03,25.7,28.93,31.83,20.37,42.63,8.87
12349,13.93,11.4,21.37,23.23,19.83,14.7,14.9
12351,12.67,7.13,9,7.93,9.93,12.33,10.83
12362,35.93,25.17,30.43,29.47,21.43,26.7,31.53
12364,30.27,30.37,29.8,34.43,35.3,29.47,28.5
12392,14.83,12.3,17.77,17.17,16,16.73,17.47
12421,10.8,29.77,20.47,20.43,8.77,9.87,8.27
12441,27.63,23.57,26.33,22.1,20.97,24.7,28.57
12560,11,13.23,13.17,21.53,17.07,13.5,15.3
12804,25.9,27.53,31,35.3,28.13,26.73,28.77
12805,24.13,23.83,28,20.27,22.07,24.57,21.47
13924,33.1,25.93,25.5,30.47,17.63,18.13,24.13
15562,29,38.53,35.17,41.27,32.3,32.4,42.3
16804,29.63,31.4,26.3,23.63,30.4,36.23,29.37
20039,6.7,8.23,11.8,6.67,17.63,12.73,12.4
20053,4.6,5.63,5,5.57,8.13,6.07,8.43
20550,15.8,34.1,31.03,18.93,25.47,28.83,19.67
20616,26.8,31.23,26.93,32.6,25.9,27.3,22.67
21026,15.17,19.87,12.9,12,18.77,14.07,20.77
21159,9.2,13.47,15.03,47.2,17.7,14.53,15.17
25954,16.73,18.83,13.2,19.9,15.23,16.97,20.7
29121,23.97,28.97,27.77,18.77,19.37,22.73,21.57
29122,26.93,15.8,23.37,22.97,31.3,21.7,18.53
29123,28.43,26.53,19.77,25.6,26.6,24.93,28.33
29429,24.07,17.77,20.2,17.53,17.53,19.83,19.73
29431,24.7,17.23,27.1,19.4,21.6,16.53,16.5
29889,23.53,22.33,25.03,27.23,20.27,19.5,23
33628,29.77,29.13,29.93,29.83,28.73,29.37,29.17
33651,24.6,30,24.53,24.47,27.13,27,25.13
33689,26.37,28.77,30.13,32.07,34.43,27.87,30.1
33754,30.93,30.5,33.07,32.47,26.13,32.87,36.03
33810,40.4,24.43,34.17,29.3,30.9,39.07,29.17
34007,20.7,20.1,22.33,26.6,21.8,23.6,26.67
34017,32.33,34.03,31.6,32.33,30.03,27.57,30.4
408143,29.77,30.33,39.77,33.1,26.93,29.93,37.13
408161,34.87,30.7,28.17,29.33,22.03,22.27,30.17
408162,29.67,31.13,36.27,28.43,26.53,12.72,25.07
408180,28.13,28.9,31.53,37.4,32.3,31.13,32.07
4081781,27.57,28.67,24.13,27.5,23.03,31.5,33.37
4081782,21.7,22.4,26.03,27.53,23.13,17.63,18.73
