site,1,2,3,4,5,6,7
9757,39.4,42.9,41.6,40.7,36,42.5,42.8
10024,55.1,53.9,57.8,56.5,57.8,58.8,58.1
10078,37.1,36.2,36.8,36.2,39.1,38.5,38
10153,45.2,44.7,46,46,44.2,50.3,44.4
10185,44.1,44,44.1,46.6,48.9,44.2,45.5
10258,45.5,43.8,45.1,42.4,44.9,43.7,42.9
10302,43.2,42.8,42.3,40.7,43.1,45.6,41.5
10399,47.3,52.4,52.2,51.1,51.8,50.4,49.5
10403,55.4,55.8,55.4,62.9,59.2,60.1,63.5
10422,45.1,49,48.8,47.5,50.5,48,47.4
10439,44.8,44.3,44.5,45,46.3,46,43.8
10444,47.3,50.4,53.3,48,50.2,51.8,52.8
10467,32.3,34.5,34,31.2,31.7,33.5,34.4
10488,45.2,47,48.5,43,47.3,54.2,50.2
10498,51.4,50.9,53.9,50.8,53.8,52.2,50.7
10506,43,33.7,39.8,40.3,45.9,37,36.1
10550,39.8,43.6,40,40.3,42.5,44.8,42.2
10553,60.3,64.4,60.2,62.8,63.4,63,63.4
10597,37.4,37.8,39.1,38.1,37.4,39.8,37.8
10956,43.4,44.1,43.8,44.7,44.4,45,43.5
10963,48.6,49.7,49.9,49.8,48.6,48.2,49.1
10965,52.2,56.1,55.6,52,50.3,52,51.9
10968,56.5,60.4,59.5,59.8,59.6,59,58.8
11079,38.1,39.2,40.2,40.3,39.5,41.3,40.3
12033,65.5,66.8,66.1,67.5,65.8,66.7,64.9
12098,51.4,52.3,52.9,53.9,54.4,52.9,53.6
12213,55.8,56.2,56,56.8,54.8,54.5,53.8
12349,55.4,55.4,55.3,53.4,56,56.7,55.8
12351,68.2,70.9,65.3,64.3,67,64.3,62.7
12362,65.1,63.2,63.2,58,68.7,65.7,60.3
12364,56.2,58.9,60.1,58.1,61.1,60.3,56.1
12392,52.3,54.6,58.4,57.3,57.3,57.8,54.3
12421,62,60.7,60.9,60,62.4,60,62
12441,72.5,78.7,72.8,74.9,75.9,75.9,75.1
12551,51.7,48.3,51.7,47.3,50,48.1,50.1
12560,53.9,57.2,57.6,58.7,61,58.9,57.5
12804,45.6,46.4,47.3,45.4,46,48.6,48.5
12805,48.7,44.4,45.3,45.5,44.6,49.5,45.9
13924,34.2,36.5,33.2,38.1,41.3,42.8,35.4
15562,49.8,50.9,52.5,50.4,50.4,49.2,53.5
16804,47.7,50,52.2,48.6,50.4,47.3,50.2
20039,53.6,62.2,65.5,64.8,55.9,58.8,57.4
20053,58.5,59.5,54,62.3,60,54.7,54.1
20550,55.1,56.6,55,56.4,61.6,57.2,55.7
20616,65.7,64.6,65.2,65.3,66.8,66.5,65.9
21026,69.6,69.9,74,73,73,72,70.3
21159,81.8,82.8,79,82.8,81,80,82.1
25954,52.7,53.5,54,55.7,55.2,53.6,56.5
29121,75.4,75.8,73.9,74.8,75.7,76.7,75.5
29122,65.2,68.2,66.3,67.5,69.6,67.6,68.4
29123,57.4,58.1,58.9,59.3,62.2,60.8,57.6
29429,65.5,67.5,67.7,71.6,65.6,69.1,67.4
29431,63.5,65.9,69.8,68.7,69.3,67.6,63.3
29889,58.6,57.8,61.1,59.6,59.1,59.6,60.3
33628,46.1,46.1,46.5,46.9,46.5,46.1,45
33651,44.8,40,51.6,37.6,37.1,38.4,45.8
33689,54.5,53.5,54.4,53,53.2,52.5,54.2
33754,45.2,44.3,44.3,45.7,46.3,42.8,47.6
33810,45.5,43.1,45.5,45.3,45.6,45,46.2
34007,50.9,50.5,47.9,45.8,44.6,45.4,43.1
34017,50,49.2,50.5,46.2,46,46,47.6
408143,46,42.6,44.5,41.7,43.4,42.3,43.9
408161,44.4,48.9,46.5,46.8,46.3,45,47.2
408162,39.6,39.6,41.3,41.1,38.3,42.5,43.4
408180,37.7,37.5,38.4,37.8,37.5,38.3,38.3
4081781,48.7,47.1,46.8,49.4,52,54.7,45.1
4081782,42.4,41.1,42.2,40.6,42.9,43,44.3
