site,1,2,3,4,5,6,7
9757,R,PC,PC,SN,SN,C,PC
10024,C,C,C,C,C,C,C
10078,SN,C,SN,C,PC,PC,PC
10153,R,R,R,R,R,R,R
10185,R,R,R,R,R,R,R
10258,C,C,C,C,C,R,C
10302,C,C,C,C,C,C,R
10399,PC,PC,PC,PC,PC,PC,PC
10403,S,PC,PC,S,S,PC,S
10422,C,C,C,C,C,C,C
10439,R,R,R,R,C,R,R
10444,S,S,S,S,S,S,S
10467,PC,PC,PC,PC,PC,PC,PC
10488,S,S,S,S,S,S,S
10498,S,S,S,S,S,S,S
10506,R,SN,R,R,R,SN,R
10550,C,C,C,C,C,C,C
10553,S,S,S,PC,S,S,S
10597,SN,SN,SN,R,SN,SN,SN
10956,C,C,C,C,C,C,C
10963,S,S,S,S,S,S,S
10965,PC,PC,PC,PC,PC,PC,C
10968,PC,S,S,S,PC,PC,S
11079,C,C,C,R,R,C,C
12033,S,S,S,S,S,S,S
12098,C,C,C,PC,C,PC,PC
12213,PC,S,PC,PC,PC,C,C
12239,S,PC,PC,PC,PC,PC,PC
12349,C,C,C,C,C,C,C
12351,S,S,S,S,S,S,S
12362,S,S,S,S,S,S,S
12364,S,S,S,S,S,S,S
12392,S,S,S,S,S,S,S
12421,S,S,S,S,S,S,S
12441,S,S,S,S,S,S,S
12560,S,S,S,S,S,S,S
12804,R,R,R,R,R,R,R
12805,R,C,R,R,C,R,R
13924,S,PC,S,S,S,S,C
15562,C,C,PC,PC,C,PC,C
16804,PC,PC,S,PC,S,PC,PC
20039,S,S,S,S,S,S,S
20053,S,S,S,S,S,S,S
20550,S,S,S,S,S,S,S
20616,S,S,S,S,S,S,S
21026,S,S,S,S,S,S,S
21159,S,S,S,S,S,S,S
25954,C,C,C,C,C,C,C
29121,S,S,S,S,S,S,S
29122,S,S,S,S,S,S,S
29123,S,S,S,S,S,S,S
29429,S,S,S,S,S,S,S
29431,S,S,S,S,S,S,S
29889,S,S,S,S,S,S,S
33628,R,R,R,R,R,R,R
33651,PC,S,PC,S,SN,SN,PC
33689,R,R,R,R,R,R,R
33754,PC,PC,PC,PC,C,PC,PC
33810,R,R,R,R,R,R,R
34007,PC,PC,PC,C,R,C,C
34017,C,C,R,C,R,R,C
408143,R,R,R,PC,PC,PC,PC
408161,C,C,C,C,C,C,C
408162,PC,SN,S,S,SN,S,PC
408180,SN,SN,S,S,SN,SN,SN
4081781,SN,SN,SN,PC,PC,PC,SN
4081782,C,C,C,SN,R,SN,C
