site,treatment,burned,salvage,logged
9757,BU,1,0,0
10024,BS,1,1,0
10078,HB,1,0,1
10153,BS,1,1,0
10185,HB,1,0,1
10258,BS,1,1,0
10302,UU,0,0,0
10399,HU,0,0,1
10403,BS,1,1,0
10422,BS,1,1,0
10439,UU,0,0,0
10444,HU,0,0,1
10467,HB,1,0,1
10488,HB,1,0,1
10498,HB,1,0,1
10506,BS,1,1,0
10550,BS,1,1,0
10553,HB,1,0,1
10597,HB,1,0,1
10956,BS,1,1,0
10963,UU,0,0,0
10965,HB,1,0,1
10968,HU,0,0,1
11079,HB,1,0,1
12033,BU,1,0,0
12098,BU,1,0,0
12213,UU,0,0,0
12349,UU,0,0,0
12351,BU,1,0,0
12362,BU,1,0,0
12364,HB,1,0,1
12392,HB,1,0,1
12421,BU,1,0,0
12441,BU,1,0,0
12239,BU,1,0,0
12560,BU,1,0,0
12804,BU,1,0,0
12805,BU,1,0,0
13924,UU,0,0,0
15562,BU,1,0,0
16804,BU,1,0,0
20039,HU,0,0,1
20053,HU,0,0,1
20550,HU,0,0,1
20616,UU,0,0,0
21026,HU,0,0,1
21159,HU,0,0,1
25954,BU,1,0,0
29121,UU,0,0,0
29122,UU,0,0,0
29123,UU,0,0,0
29429,UU,0,0,0
29431,UU,0,0,0
29889,UU,0,0,0
33628,HB,1,0,1
33651,HB,1,0,1
33689,HU,0,0,1
33754,HU,0,0,1
33810,HU,0,0,1
34007,HB,1,0,1
34017,HU,0,0,1
408143,HU,0,0,1
408161,HU,0,0,1
408162,HU,0,0,1
408180,HB,1,0,1
4081781,BS,1,1,0
4081782,HB,1,0,1
