site,elev,treatment,dwd.count.avg,canopy.cover.avg,cwd.cover.avg,soil.moist.avg,julian.date
9757,1518,BU,5,2,1.57,22.75,2460052.5
10024,858,BS,9.14,0,1.71,13.83,2460085.5
10078,1851.71,HB,8.57,0,1,30.13,2460017.5
10153,2725,BS,6.43,0,1.43,25.71,2460067.5
10185,2139,HB,6.43,0,1.43,33.26,2460043.5
10258,1894,BS,5.86,0,1.29,19.27,2460022.5
10302,2571,UU,4.14,3.86,1.29,15.99,2460064.5
10399,2866,HU,7.43,0,1.71,24.68,2460072.5
10403,2073,BS,3.86,0,1,20.44,2460024.5
10422,1489,BS,8.86,0,1.57,26.3,2460032.5
10439,2812,UU,5.14,3.57,2,25.32,2460067.5
10444,2172,HU,4.86,0,1,19.63,2460024.5
10467,1550.98,HB,3.57,0,1,28.96,2460016.5
10488,2378,HB,4.29,0,1,18.65,2460023.5
10498,2943,HB,7.43,0,1.29,23.21,2460073.5
10506,1185.37,BS,8.57,0,1,36.7,2460015.5
10550,2145,BS,6.71,0,1.43,24.8,2460032.5
10553,2489,HB,10.29,0,1.29,16.43,2460073.5
10597,2539,HB,8.57,0,1.29,24.38,2460025.5
10956,1759,BS,7.57,0,1.86,25.61,2460030.5
10963,2333,UU,5,3.71,1.14,22.82,2460023.5
10965,2812,HB,8.57,0,1.29,29.85,2460072.5
10968,2641,HU,4.29,0,1.14,15.61,2460066.5
11079,1906,HB,4.71,0,1,28.1,2460022.5
12033,1800,BU,7.86,1.86,1.57,23.2,2460059.5
12098,1602,BU,5.71,2,1.43,23.8,2460065.5
12213,614,UU,5.57,2.43,1.43,33.4,2460057.5
12349,709.11,UU,4.86,3,1.43,25.91,2460017.5
12351,1511,BU,3.86,1.14,1.14,17.05,2460065.5
12362,1492,BU,7.29,1.29,1.29,9.98,2460086.5
12364,1954,HB,3.57,0,1.14,28.67,2460058.5
12392,1681,HB,2.57,0,1.14,31.16,2460058.5
12421,1997,BU,3.57,1.29,1,16.04,2460074.5
12441,2020,BU,5,0.86,1.14,15.48,2460060.5
12239,1968,BU,3.86,1,1.71,24.84,2460060.5
12560,1350,BU,2.57,2,1.29,14.97,2460059.5
12804,1610,BU,3.71,2.29,1,29.05,2460071.5
12805,1790,BU,6,1.57,1.43,23.48,2460071.5
13924,897.9,UU,5.71,1.86,1.57,24.99,2460018.5
15562,1263,BU,2.43,1.43,1.29,35.85,2460029.5
16804,1570,BU,2.29,1.29,0.71,29.57,2460031.5
20039,3044,HU,7.57,0,1.43,10.88,2460095.5
20053,2461,HU,5,0,1.14,6.2,2460095.5
20550,1845,HU,6.43,0,1.14,24.83,2460096.5
20616,1108,UU,6,3.57,1.57,27.63,2460078.5
21026,3258,HU,6.57,0,1.43,16.22,2460080.5
21159,2904,HU,0,0,1.57,18.9,2460080.5
25954,1103,BU,1.43,1.14,0.86,17.37,2460086.5
29121,1340,UU,5.86,3.29,1.57,23.3,2460078.5
29122,1480,UU,4,3.71,1.43,22.94,2460079.5
29123,1384,UU,3,2.86,1,25.74,2460079.5
29429,1641,UU,4.57,1.71,1.14,19.52,2460081.5
29431,1664,UU,5.43,1.71,1.43,20.44,2460096.5
29889,1752,UU,6.71,1.71,1.71,22.99,2460081.5
33628,1657,HB,4.43,0,1,29.42,2460039.5
33651,1828,HB,4.71,0,1,26.12,2460044.5
33689,1845,HU,5.29,0,1.29,29.96,2460039.5
33754,1534,HU,4.71,0,1.14,31.71,2460038.5
33810,2420,HU,9.57,0,1.43,32.49,2460043.5
34007,2209,HB,7.43,0,1.43,23.11,2460050.5
34017,647,HU,5.14,0,1,31.19,2460053.5
408143,1423,HU,6.57,0,1.14,32.42,2460037.5
408161,1879,HU,5.43,0,1.29,28.22,2460038.5
408162,2040,HU,6.14,0,1.14,27.12,2460045.5
408180,1533,HB,6.71,0,1.29,31.64,2460044.5
4081781,1789,BS,6.43,0,1.14,27.97,2460051.5
4081782,1953,HB,5.14,0,1.14,22.45,2460052.5
