date,site,temp,humidity,soil.moist,all.obs,oss.obs,enes.obs
4/19/2023,9757,39.4,86.4,22.3,0,0,0
4/19/2023,9757,42.9,86.1,27.07,0,0,0
4/19/2023,9757,41.6,89,23.83,0,0,0
4/19/2023,9757,40.7,94.9,20.43,0,0,0
4/19/2023,9757,36,92.5,16.9,1,0,1
4/19/2023,9757,42.5,87.3,23.33,0,0,0
4/19/2023,9757,42.8,89.8,25.37,1,1,0
5/22/2023,10024,55.1,68.4,10.17,0,0,0
5/22/2023,10024,53.9,69.4,6.2,0,0,0
5/22/2023,10024,57.8,61.1,0,0,0,0
5/22/2023,10024,56.5,64.1,45,0,0,0
5/22/2023,10024,57.8,58.5,4.57,0,0,0
5/22/2023,10024,58.8,58.8,12.07,0,0,0
5/22/2023,10024,58.1,63.3,18.8,0,0,0
3/15/2023,10078,37.1,89.7,26.4,0,0,0
3/15/2023,10078,36.2,86.3,28.33,0,0,0
3/15/2023,10078,36.8,83.2,26.07,0,0,0
3/15/2023,10078,36.2,92.1,32.23,0,0,0
3/15/2023,10078,39.1,87.4,33.03,0,0,0
3/15/2023,10078,38.5,91.9,31.83,0,0,0
3/15/2023,10078,38,98.3,33,0,0,0
5/4/2023,10153,45.2,91.4,18.93,0,0,0
5/4/2023,10153,44.7,94.9,21.87,0,0,0
5/4/2023,10153,46,90,30.1,0,0,0
5/4/2023,10153,46,92.6,27.03,1,0,1
5/4/2023,10153,44.2,96.9,21.03,0,0,0
5/4/2023,10153,50.3,87,29.4,0,0,0
5/4/2023,10153,44.4,96.2,31.6,0,0,0
4/10/2023,10185,44.1,82.1,36.2,0,0,0
4/10/2023,10185,44,100,32.4,0,0,0
4/10/2023,10185,44.1,95.2,44.4,0,0,0
4/10/2023,10185,46.6,89.1,27.37,1,0,1
4/10/2023,10185,48.9,79.2,25.07,1,1,0
4/10/2023,10185,44.2,92.7,32.2,0,0,0
4/10/2023,10185,45.5,99.1,35.2,0,0,0
3/20/2023,10258,45.5,100,30.8,0,0,0
3/20/2023,10258,43.8,89.2,27.43,0,0,0
3/20/2023,10258,45.1,91.7,11.37,0,0,0
3/20/2023,10258,42.4,99.5,15.63,0,0,0
3/20/2023,10258,44.9,85.6,18.17,0,0,0
3/20/2023,10258,43.7,85.3,7.53,0,0,0
3/20/2023,10258,42.9,91.7,23.97,0,0,0
5/1/2023,10302,43.2,81.7,20.77,0,0,0
5/1/2023,10302,42.8,84,15.6,0,0,0
5/1/2023,10302,42.3,85.9,13.9,0,0,0
5/1/2023,10302,40.7,88.9,14,1,1,0
5/1/2023,10302,43.1,85.6,18.1,0,0,0
5/1/2023,10302,45.6,83.4,15,1,1,1
5/1/2023,10302,41.5,90.2,14.53,1,1,1
5/9/2023,10399,47.3,86.8,25.73,0,0,0
5/9/2023,10399,52.4,91.1,22.87,0,0,0
5/9/2023,10399,52.2,95,25,0,0,0
5/9/2023,10399,51.1,81.1,25.3,0,0,0
5/9/2023,10399,51.8,93,21.63,0,0,0
5/9/2023,10399,50.4,83,25.93,0,0,0
5/9/2023,10399,49.5,90.7,26.27,0,0,0
3/22/2023,10403,55.4,54,26.8,0,0,0
3/22/2023,10403,55.8,54.5,17.2,0,0,0
3/22/2023,10403,55.4,66.7,15.47,0,0,0
